"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__","Group",0.5430652101953,0.947408140089187,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.974025974025974,-0.0379678501990205
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__","Group",0.42907864960555,0.947408140089187,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.25231646471846,-1.9866937435369
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__neonatale","Group",0.443097249733151,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",2.11004784688995,1.07727571347664
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__","Group",0.0888986996264822,0.712227047743479,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",2.34782608695652,1.23132554610646
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta","Group",0.199623699164649,0.804580123312264,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.56280064136825,0.644133752711653
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__catus","Group",0.903427983053334,0.990641952146713,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.11271676300578,0.154086407945539
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__","Group",0.0247077981396475,0.456562464703365,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",5.4,2.43295940727611
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__","Group",0.166694103839965,0.800131698431833,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",2.4390243902439,1.28630418515664
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__","Group",0.310222345935879,0.877860830773869,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.45398773006135,0.540015094667182
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__yabuuchiae","Group",0.574759465783435,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.14134275618375,0.190732111862042
